workload,model,frequency,horizon,timesteps,suite,het_prob,status,rmse,max,mpe,exp_var,mape,r2_score,train_rmse,train_max,train_mpe,train_exp_var,train_mape,train_r2_score
aligned_spec_777.zstd_r_2.0GHz_cpu16,mlp,2.0,1,5,spec2026,0.6,Success,1610807.518568661,56733963.0,8.155238285581058,0.18621395538578145,14.264362821775306,0.03193828938062415,2293507.848201702,81029303.5,-22.276943772298768,0.0056742361777594175,35.83191035980994,-0.004726844549197917
aligned_spec_777.zstd_r_2.0GHz_cpu16,mlp,2.0,5,5,spec2026,0.6,Success,1751358.8869295293,57374122.5,13.371401713757713,0.15827284397442926,16.814355438919794,-0.14427999790394447,2282293.995143858,81415455.5,-15.977648094154167,0.006508205297522785,33.10252823688342,0.0052780028329570735
aligned_spec_777.zstd_r_2.0GHz_cpu16,mlp,2.0,10,5,spec2026,0.6,Success,1801573.8448751513,57391377.0,15.282594026450745,0.15672519074984043,18.00521436278859,-0.20988995106006075,2285587.7409656732,81581923.0,-13.396828599635276,0.005522767763203507,32.26613358626977,0.0024040471665102035
aligned_spec_777.zstd_r_2.0GHz_cpu16,dt,2.0,1,5,spec2026,0.8,Success,1844949.8639487894,57407485.76972657,15.07701771657845,0.0974835196567756,18.17330967253584,-0.26994491810502264,2290812.4446851136,68638345.20656288,-18.49444913539738,0.012964895859369774,37.50234043850042,0.012964895859369996
aligned_spec_777.zstd_r_2.0GHz_cpu16,dt,2.0,5,5,spec2026,0.8,Success,1819826.2048545827,57617461.77126741,15.067305870972598,0.12870547979490637,17.84781479873465,-0.2354977691221863,2292495.9779974623,68677808.66249329,-18.492616578521396,0.011600133199132423,37.46672331365195,0.011600133199132468
aligned_spec_777.zstd_r_2.0GHz_cpu16,dt,2.0,10,5,spec2026,0.8,Success,1807766.86492829,57617461.77126741,15.022140437441466,0.14332233334182312,17.934402159018724,-0.21824208562172198,2290554.6612021374,68677808.66249329,-18.488871153422245,0.013307147587176438,37.47103611294937,0.01330714758717646
aligned_spec_777.zstd_r_2.0GHz_cpu16,mlp,2.0,1,5,spec2026,0.8,Success,2203305.9574092194,58390726.0,25.672185370351247,0.034580821268646145,26.058934236652338,-0.8111956411577312,2349409.7086093198,69036764.75,-5.308273585656614,0.000774564404656175,32.94898089828389,-0.03817615437408017
aligned_spec_777.zstd_r_2.0GHz_cpu16,mlp,2.0,5,5,spec2026,0.8,Success,2103672.691673783,58346609.75,22.76522390231326,0.05412580381224774,23.729154991243465,-0.6509648820027559,2332511.9705179306,69223312.0,-9.235669852467716,0.0017825050646335995,34.199549137913486,-0.023206551754409267
aligned_spec_777.zstd_r_2.0GHz_cpu16,mlp,2.0,10,5,spec2026,0.8,Success,2042513.1125224603,58024786.75,21.790726257363715,0.09311956432668621,22.810239488413682,-0.5551422861704334,2324692.606945509,69187622.5,-10.24686708221623,0.0023900227520973205,34.43982441802916,-0.016322711655595436
aligned_spec_777.zstd_r_2.0GHz_cpu16,dt,2.0,1,5,spec2026,1.0,Success,1940812.9012805359,57613541.05257146,18.26711089733148,0.08604070839931577,20.24900556650238,-0.4053454365974525,2224192.505524459,61982431.12784378,-20.75361608372812,0.012222223405500499,41.06023250944698,0.012222223405500499
aligned_spec_777.zstd_r_2.0GHz_cpu16,dt,2.0,5,5,spec2026,1.0,Success,1949367.6787918163,57783615.95044514,18.189925526824958,0.07290648802898743,20.2707731359491,-0.41765030315675045,2226669.7292418997,61982431.12784378,-20.772079914146516,0.013815689397570451,41.069704038173576,0.013815689397570474
aligned_spec_777.zstd_r_2.0GHz_cpu16,dt,2.0,10,5,spec2026,1.0,Success,1952724.1111176207,57783615.95044514,18.03507305500006,0.06420766060226016,20.213178513018992,-0.421427858150868,2226709.1858266746,61982431.12784378,-20.78348498484766,0.014224698464293528,41.08339700265913,0.014224698464293594
aligned_spec_777.zstd_r_2.0GHz_cpu16,mlp,2.0,1,5,spec2026,1.0,Success,2350723.4930545846,58511442.25,29.991986023036297,0.032616298905400076,30.082265579182774,-1.0616685322224106,2300683.6073837243,62555524.75,-4.22722001490385,0.0016906832912180203,34.15102933509208,-0.05688637976014199
aligned_spec_777.zstd_r_2.0GHz_cpu16,mlp,2.0,5,5,spec2026,1.0,Success,2269832.5935899136,58663580.75,28.215504003315147,0.0650714128029793,28.46770787720331,-0.9220792185873637,2275100.172431661,62730265.75,-9.484128213933046,0.0012063709566764835,36.09925736198352,-0.02959065647437429
aligned_spec_777.zstd_r_2.0GHz_cpu16,mlp,2.0,10,5,spec2026,1.0,Success,2156240.693428027,58498221.0,23.865247769918085,0.027782664501418232,24.62231693627708,-0.7331324771959629,2263158.534987874,62470405.5,-12.259960987587052,0.0011633937800906492,37.19084729999288,-0.01831749666556968
aligned_spec_782.lbm_r_2.0GHz_cpu16,dt,2.0,1,5,spec2026,0.2,Success,416951.50634347025,9447556.325966852,4.657959043818388,0.8984876855987086,5.040940248369152,0.8369209569111202,864052.4918030695,15938357.295002881,-3.0675609796996857,0.5181543192160332,11.610349908417952,0.5181543192160332
aligned_spec_782.lbm_r_2.0GHz_cpu16,dt,2.0,5,5,spec2026,0.2,Success,925571.0723046617,15875099.341995336,4.118306749959218,0.26078775846876734,4.842895433970829,0.19640424960257954,1125394.4557835658,16256634.341995336,-3.6606660472657673,0.16955231969778758,11.53431427829973,0.16955231969778756
aligned_spec_782.lbm_r_2.0GHz_cpu16,dt,2.0,10,5,spec2026,0.2,Success,922571.8429306987,15875099.341995336,4.186311531880465,0.26781048101372973,5.106117821769142,0.2016209420861092,1111073.5254515456,16256634.341995336,-3.6361710221284933,0.18058734337057186,11.728563317479756,0.18058734337057186
aligned_spec_782.lbm_r_2.0GHz_cpu16,mlp,2.0,1,5,spec2026,0.2,Success,1034321.7951368886,15636354.0,0.8025990018276913,0.005643880893569708,1.1464407921955322,-0.003548607106988344,1252368.8502733891,31516057.0,-7.328163519667334,0.005805270633744919,9.0620394726174,-0.012260360469709797
aligned_spec_782.lbm_r_2.0GHz_cpu16,mlp,2.0,5,5,spec2026,0.2,Success,1040103.6392203267,15693623.5,1.4260591235607996,0.0017994751045127045,1.5071532059276944,-0.014781571087680367,1242172.2328844713,32904406.0,-6.671093397721124,0.0016039514688630074,9.234471536056327,-0.010465039336923132
aligned_spec_782.lbm_r_2.0GHz_cpu16,mlp,2.0,10,5,spec2026,0.2,Success,1034058.0588214917,15706613.5,-0.28767135651669545,-0.00033297072701000686,1.6584438542850903,-0.0029959265526081635,1258169.669877969,32564077.5,-8.475763162064275,-0.015805307762387356,9.756601407018598,-0.05005136936429226
aligned_spec_782.lbm_r_2.0GHz_cpu16,dt,2.0,1,5,spec2026,0.4,Success,615142.155858791,9407637.923617214,9.418900849063395,0.8905746765671815,9.72245757093916,0.6450411237298117,1089186.0613060605,16130734.596407175,-5.185333979581381,0.34906891931563144,19.499794276063934,0.34906891931563133
aligned_spec_782.lbm_r_2.0GHz_cpu16,dt,2.0,5,5,spec2026,0.4,Success,1043592.1423900288,16138453.997999288,9.097515104521023,0.24143799335514685,9.737016889011478,-0.021597675257952885,1258036.4998438056,16519988.997999288,-5.702585244077827,0.12004581942056722,19.7134675353354,0.12004581942056725
